machine learning;SjS;big data
>29324649;First_Filter=PASSED;Last_filter=PASSED
>29323205;First_Filter=PASSED;Last_filter=PASSED
>29312134;First_Filter=PASSED;Last_filter=PASSED
>29305324;First_Filter=PASSED;Last_filter=FAILED
>29301991;First_Filter=PASSED;Last_filter=FAILED
>29298978;First_Filter=PASSED;Last_filter=FAILED
>29279970;First_Filter=PASSED;Last_filter=FAILED
>29278490;First_Filter=PASSED;Last_filter=PASSED
>29272325;First_Filter=PASSED;Last_filter=PASSED
>29269039;First_Filter=PASSED;Last_filter=FAILED
>29261781;First_Filter=PASSED;Last_filter=PASSED
>29261408;First_Filter=PASSED;Last_filter=PASSED
>29246519;First_Filter=PASSED;Last_filter=PASSED
>29241666;First_Filter=PASSED;Last_filter=PASSED
>29237568;First_Filter=PASSED;Last_filter=PASSED
>29237237;First_Filter=PASSED;Last_filter=PASSED
>29235918;First_Filter=PASSED;Last_filter=FAILED
>29235916;First_Filter=PASSED;Last_filter=PASSED
>29235914;First_Filter=PASSED;Last_filter=PASSED
>29235174;First_Filter=PASSED;Last_filter=PASSED
>29227306;First_Filter=PASSED;Last_filter=FAILED
>29222076;First_Filter=PASSED;Last_filter=FAILED
>29218890;First_Filter=PASSED;Last_filter=PASSED
>29215763;First_Filter=PASSED;Last_filter=FAILED
>29199918;First_Filter=PASSED;Last_filter=FAILED
>29194464;First_Filter=PASSED;Last_filter=FAILED
>29194052;First_Filter=PASSED;Last_filter=PASSED
>29188348;First_Filter=FAILED;Last_filter=PASSED
>29187563;First_Filter=PASSED;Last_filter=PASSED
>29180800;First_Filter=PASSED;Last_filter=PASSED
>29179711;First_Filter=PASSED;Last_filter=PASSED
>29171014;First_Filter=PASSED;Last_filter=FAILED
>29151574;First_Filter=PASSED;Last_filter=PASSED
>29147562;First_Filter=PASSED;Last_filter=FAILED
>29147518;First_Filter=PASSED;Last_filter=PASSED
>29132615;First_Filter=PASSED;Last_filter=FAILED
>29126825;First_Filter=PASSED;Last_filter=FAILED
>29117139;First_Filter=PASSED;Last_filter=FAILED
>29109070;First_Filter=PASSED;Last_filter=FAILED
>29101418;First_Filter=FAILED;Last_filter=PASSED
>29086438;First_Filter=PASSED;Last_filter=PASSED
>29085292;First_Filter=PASSED;Last_filter=FAILED
>29079522;First_Filter=PASSED;Last_filter=PASSED
>29063545;First_Filter=PASSED;Last_filter=FAILED
>29057395;First_Filter=PASSED;Last_filter=PASSED
>29046267;First_Filter=PASSED;Last_filter=PASSED
>29042219;First_Filter=PASSED;Last_filter=FAILED
>29042152;First_Filter=PASSED;Last_filter=FAILED
>29038732;First_Filter=PASSED;Last_filter=PASSED
>29029305;First_Filter=PASSED;Last_filter=FAILED
>29026108;First_Filter=PASSED;Last_filter=PASSED
>28993656;First_Filter=PASSED;Last_filter=PASSED
>28992453;First_Filter=PASSED;Last_filter=FAILED
>28984189;First_Filter=PASSED;Last_filter=PASSED
>28981453;First_Filter=PASSED;Last_filter=PASSED
>28968709;First_Filter=PASSED;Last_filter=PASSED
>28968677;First_Filter=PASSED;Last_filter=PASSED
>28967349;First_Filter=PASSED;Last_filter=PASSED
>28959135;First_Filter=PASSED;Last_filter=PASSED
>28956864;First_Filter=PASSED;Last_filter=PASSED
>28949964;First_Filter=PASSED;Last_filter=PASSED
>28949092;First_Filter=PASSED;Last_filter=PASSED
>28948531;First_Filter=PASSED;Last_filter=PASSED
>28933947;First_Filter=PASSED;Last_filter=PASSED
>28932174;First_Filter=PASSED;Last_filter=PASSED
>28926775;First_Filter=PASSED;Last_filter=PASSED
>28922596;First_Filter=PASSED;Last_filter=PASSED
>28918672;First_Filter=PASSED;Last_filter=PASSED
>28918390;First_Filter=PASSED;Last_filter=PASSED
>28912801;First_Filter=PASSED;Last_filter=PASSED
>28899706;First_Filter=PASSED;Last_filter=FAILED
>28894245;First_Filter=PASSED;Last_filter=PASSED
>28887351;First_Filter=PASSED;Last_filter=FAILED
>28881183;First_Filter=PASSED;Last_filter=PASSED
>28880333;First_Filter=PASSED;Last_filter=FAILED
>28875035;First_Filter=PASSED;Last_filter=PASSED
>28867810;First_Filter=PASSED;Last_filter=FAILED
>28866555;First_Filter=PASSED;Last_filter=PASSED
>28859346;First_Filter=PASSED;Last_filter=PASSED
>28853484;First_Filter=PASSED;Last_filter=PASSED
>28851678;First_Filter=PASSED;Last_filter=FAILED
>28848388;First_Filter=PASSED;Last_filter=FAILED
>28836909;First_Filter=PASSED;Last_filter=PASSED
>28830106;First_Filter=PASSED;Last_filter=FAILED
>28829624;First_Filter=PASSED;Last_filter=PASSED
>28807870;First_Filter=PASSED;Last_filter=PASSED
>28802713;First_Filter=PASSED;Last_filter=PASSED
>28797242;First_Filter=PASSED;Last_filter=PASSED
>28774444;First_Filter=PASSED;Last_filter=FAILED
>28774262;First_Filter=PASSED;Last_filter=PASSED
>28770216;First_Filter=PASSED;Last_filter=PASSED
>28748430;First_Filter=PASSED;Last_filter=FAILED
>28728937;First_Filter=PASSED;Last_filter=FAILED
>28715190;First_Filter=PASSED;Last_filter=PASSED
>28692138;First_Filter=PASSED;Last_filter=PASSED
>28686739;First_Filter=PASSED;Last_filter=PASSED
>28670152;First_Filter=PASSED;Last_filter=PASSED
>28668006;First_Filter=PASSED;Last_filter=PASSED
>28666387;First_Filter=PASSED;Last_filter=PASSED
>28662045;First_Filter=PASSED;Last_filter=PASSED
>28634997;First_Filter=PASSED;Last_filter=FAILED
>28632438;First_Filter=PASSED;Last_filter=FAILED
>28632437;First_Filter=PASSED;Last_filter=PASSED
>28626296;First_Filter=PASSED;Last_filter=PASSED
>28600868;First_Filter=PASSED;Last_filter=PASSED
>28583429;First_Filter=PASSED;Last_filter=PASSED
>28575140;First_Filter=PASSED;Last_filter=FAILED
>28570703;First_Filter=PASSED;Last_filter=PASSED
>28545640;First_Filter=PASSED;Last_filter=FAILED
>28527522;First_Filter=PASSED;Last_filter=FAILED
>28520598;First_Filter=PASSED;Last_filter=FAILED
>28474419;First_Filter=PASSED;Last_filter=FAILED
>28473150;First_Filter=PASSED;Last_filter=FAILED
>28472273;First_Filter=PASSED;Last_filter=FAILED
>28456584;First_Filter=PASSED;Last_filter=PASSED
>28436893;First_Filter=PASSED;Last_filter=PASSED
>28422856;First_Filter=PASSED;Last_filter=PASSED
>28413974;First_Filter=PASSED;Last_filter=FAILED
>28394393;First_Filter=PASSED;Last_filter=PASSED
>28372961;First_Filter=PASSED;Last_filter=FAILED
>28370082;First_Filter=PASSED;Last_filter=FAILED
>28368170;First_Filter=PASSED;Last_filter=PASSED
>28363289;First_Filter=PASSED;Last_filter=FAILED
>28361707;First_Filter=PASSED;Last_filter=FAILED
>28361689;First_Filter=PASSED;Last_filter=PASSED
>28357901;First_Filter=FAILED;Last_filter=FAILED
>28333183;First_Filter=PASSED;Last_filter=FAILED
>28316616;First_Filter=PASSED;Last_filter=PASSED
>28301733;First_Filter=PASSED;Last_filter=PASSED
>28287984;First_Filter=PASSED;Last_filter=PASSED
>28282239;First_Filter=PASSED;Last_filter=PASSED
>28269875;First_Filter=PASSED;Last_filter=PASSED
>28263942;First_Filter=PASSED;Last_filter=FAILED
>28263941;First_Filter=PASSED;Last_filter=PASSED
>28263937;First_Filter=PASSED;Last_filter=PASSED
>28263936;First_Filter=PASSED;Last_filter=FAILED
>28261530;First_Filter=PASSED;Last_filter=PASSED
>28232122;First_Filter=PASSED;Last_filter=FAILED
>28217081;First_Filter=PASSED;Last_filter=PASSED
>28186006;First_Filter=PASSED;Last_filter=PASSED
>28164232;First_Filter=PASSED;Last_filter=PASSED
>28154050;First_Filter=PASSED;Last_filter=FAILED
>28147685;First_Filter=PASSED;Last_filter=PASSED
>28127429;First_Filter=PASSED;Last_filter=PASSED
>28122121;First_Filter=PASSED;Last_filter=PASSED
>28116551;First_Filter=PASSED;Last_filter=FAILED
>28110106;First_Filter=PASSED;Last_filter=PASSED
>28107565;First_Filter=PASSED;Last_filter=FAILED
>28104273;First_Filter=PASSED;Last_filter=FAILED
>28079723;First_Filter=PASSED;Last_filter=PASSED
>28070484;First_Filter=PASSED;Last_filter=FAILED
>28065610;First_Filter=PASSED;Last_filter=PASSED
>28042838;First_Filter=PASSED;Last_filter=PASSED
>28042608;First_Filter=PASSED;Last_filter=FAILED
>28035989;First_Filter=PASSED;Last_filter=FAILED
>28034409;First_Filter=PASSED;Last_filter=PASSED
>28032396;First_Filter=PASSED;Last_filter=PASSED
>28029644;First_Filter=PASSED;Last_filter=PASSED
>27992262;First_Filter=PASSED;Last_filter=PASSED
>27986855;First_Filter=PASSED;Last_filter=PASSED
>27986644;First_Filter=PASSED;Last_filter=PASSED
>27977088;First_Filter=FAILED;Last_filter=FAILED
>27974883;First_Filter=PASSED;Last_filter=PASSED
>27973671;First_Filter=PASSED;Last_filter=PASSED
>27887770;First_Filter=PASSED;Last_filter=PASSED
>27871876;First_Filter=PASSED;Last_filter=PASSED
>27862002;First_Filter=PASSED;Last_filter=PASSED
>27833159;First_Filter=PASSED;Last_filter=PASSED
>27830258;First_Filter=PASSED;Last_filter=FAILED
>27830257;First_Filter=PASSED;Last_filter=PASSED
>27824584;First_Filter=PASSED;Last_filter=PASSED
>27822312;First_Filter=PASSED;Last_filter=FAILED
>27819294;First_Filter=PASSED;Last_filter=PASSED
>27814027;First_Filter=PASSED;Last_filter=PASSED
>27802931;First_Filter=PASSED;Last_filter=PASSED
>26438655;First_Filter=PASSED;Last_filter=PASSED
>27781485;First_Filter=PASSED;Last_filter=PASSED
>27266594;First_Filter=PASSED;Last_filter=FAILED
>27548044;First_Filter=PASSED;Last_filter=PASSED
>27452181;First_Filter=PASSED;Last_filter=PASSED
>27765959;First_Filter=PASSED;Last_filter=PASSED
>27241666;First_Filter=PASSED;Last_filter=FAILED
>27747607;First_Filter=PASSED;Last_filter=PASSED
>27698038;First_Filter=PASSED;Last_filter=PASSED
>27698035;First_Filter=PASSED;Last_filter=PASSED
>27695919;First_Filter=PASSED;Last_filter=PASSED
>27686428;First_Filter=PASSED;Last_filter=FAILED
>27685652;First_Filter=PASSED;Last_filter=FAILED
>27682033;First_Filter=PASSED;Last_filter=FAILED
>27671088;First_Filter=PASSED;Last_filter=PASSED
>27659841;First_Filter=PASSED;Last_filter=FAILED
>27655959;First_Filter=PASSED;Last_filter=PASSED
>27652177;First_Filter=PASSED;Last_filter=PASSED
>27642720;First_Filter=PASSED;Last_filter=PASSED
>27641707;First_Filter=PASSED;Last_filter=PASSED
>27610328;First_Filter=PASSED;Last_filter=PASSED
>27595047;First_Filter=PASSED;Last_filter=PASSED
>27592382;First_Filter=PASSED;Last_filter=PASSED
>27587087;First_Filter=PASSED;Last_filter=PASSED
>27586524;First_Filter=PASSED;Last_filter=PASSED
>27580970;First_Filter=PASSED;Last_filter=FAILED
>27577240;First_Filter=PASSED;Last_filter=PASSED
>27568339;First_Filter=PASSED;Last_filter=FAILED
>27548182;First_Filter=PASSED;Last_filter=PASSED
>27541627;First_Filter=PASSED;Last_filter=FAILED
>27529225;First_Filter=PASSED;Last_filter=PASSED
>27526849;First_Filter=PASSED;Last_filter=PASSED
>27522632;First_Filter=PASSED;Last_filter=FAILED
>27505613;First_Filter=PASSED;Last_filter=PASSED
>27496860;First_Filter=PASSED;Last_filter=FAILED
>27494614;First_Filter=PASSED;Last_filter=FAILED
>27493624;First_Filter=PASSED;Last_filter=FAILED
>27483216;First_Filter=PASSED;Last_filter=PASSED
>27480748;First_Filter=PASSED;Last_filter=PASSED
>27473064;First_Filter=PASSED;Last_filter=PASSED
>27464907;First_Filter=PASSED;Last_filter=PASSED
>27461154;First_Filter=PASSED;Last_filter=FAILED
>27454257;First_Filter=PASSED;Last_filter=PASSED
>27444562;First_Filter=PASSED;Last_filter=FAILED
>27442958;First_Filter=PASSED;Last_filter=PASSED
>27441712;First_Filter=PASSED;Last_filter=FAILED
>27441585;First_Filter=PASSED;Last_filter=PASSED
>27441584;First_Filter=PASSED;Last_filter=PASSED
>27441408;First_Filter=PASSED;Last_filter=FAILED
>27441407;First_Filter=PASSED;Last_filter=PASSED
>27441405;First_Filter=PASSED;Last_filter=FAILED
>27441404;First_Filter=PASSED;Last_filter=PASSED
>27423409;First_Filter=PASSED;Last_filter=FAILED
>27406289;First_Filter=PASSED;Last_filter=PASSED
>27383691;First_Filter=PASSED;Last_filter=PASSED
>27383622;First_Filter=PASSED;Last_filter=PASSED
>27379211;First_Filter=PASSED;Last_filter=FAILED
>27377323;First_Filter=PASSED;Last_filter=FAILED
>27375358;First_Filter=PASSED;Last_filter=PASSED
>27367425;First_Filter=PASSED;Last_filter=PASSED
>27363613;First_Filter=FAILED;Last_filter=FAILED
>27353971;First_Filter=PASSED;Last_filter=FAILED
>27349830;First_Filter=PASSED;Last_filter=FAILED
>27346990;First_Filter=PASSED;Last_filter=PASSED
>27339328;First_Filter=PASSED;Last_filter=FAILED
>27314659;First_Filter=PASSED;Last_filter=FAILED
>27302506;First_Filter=PASSED;Last_filter=FAILED
>27292550;First_Filter=PASSED;Last_filter=PASSED
>27280018;First_Filter=PASSED;Last_filter=PASSED
>27279732;First_Filter=PASSED;Last_filter=PASSED
>27266599;First_Filter=PASSED;Last_filter=FAILED
>27242402;First_Filter=PASSED;Last_filter=FAILED
>27207370;First_Filter=PASSED;Last_filter=PASSED
>27195004;First_Filter=PASSED;Last_filter=PASSED
>27177941;First_Filter=PASSED;Last_filter=PASSED
>27130797;First_Filter=PASSED;Last_filter=PASSED
>27127694;First_Filter=PASSED;Last_filter=PASSED
>27125586;First_Filter=PASSED;Last_filter=PASSED
>27119951;First_Filter=PASSED;Last_filter=FAILED
>27115650;First_Filter=PASSED;Last_filter=PASSED
>27093710;First_Filter=PASSED;Last_filter=PASSED
>27047994;First_Filter=PASSED;Last_filter=FAILED
>27042689;First_Filter=PASSED;Last_filter=FAILED
>27012503;First_Filter=PASSED;Last_filter=FAILED
>26998312;First_Filter=PASSED;Last_filter=PASSED
>26992706;First_Filter=PASSED;Last_filter=PASSED
>26992568;First_Filter=PASSED;Last_filter=PASSED
>26979668;First_Filter=PASSED;Last_filter=PASSED
>26978837;First_Filter=PASSED;Last_filter=PASSED
>26944035;First_Filter=PASSED;Last_filter=FAILED
>26907860;First_Filter=PASSED;Last_filter=PASSED
>26883371;First_Filter=PASSED;Last_filter=PASSED
>26883067;First_Filter=PASSED;Last_filter=PASSED
>26873929;First_Filter=PASSED;Last_filter=FAILED
>26867072;First_Filter=PASSED;Last_filter=FAILED
>26858916;First_Filter=PASSED;Last_filter=FAILED
>26829605;First_Filter=PASSED;Last_filter=PASSED
>26827299;First_Filter=PASSED;Last_filter=FAILED
>26819493;First_Filter=PASSED;Last_filter=PASSED
>26819243;First_Filter=PASSED;Last_filter=FAILED
>26818456;First_Filter=PASSED;Last_filter=FAILED
>26817711;First_Filter=PASSED;Last_filter=PASSED
>26816399;First_Filter=PASSED;Last_filter=FAILED
>26783204;First_Filter=PASSED;Last_filter=PASSED
>26779665;First_Filter=PASSED;Last_filter=PASSED
>26778951;First_Filter=PASSED;Last_filter=PASSED
>26773901;First_Filter=PASSED;Last_filter=FAILED
>26772057;First_Filter=PASSED;Last_filter=FAILED
>26756101;First_Filter=PASSED;Last_filter=FAILED
>26728004;First_Filter=PASSED;Last_filter=PASSED
>28428496;First_Filter=FAILED;Last_filter=PASSED
>26690682;First_Filter=PASSED;Last_filter=PASSED
>26689499;First_Filter=PASSED;Last_filter=PASSED
>26685270;First_Filter=PASSED;Last_filter=PASSED
>26681933;First_Filter=PASSED;Last_filter=PASSED
>26679719;First_Filter=PASSED;Last_filter=PASSED
>26674745;First_Filter=PASSED;Last_filter=PASSED
>26673930;First_Filter=PASSED;Last_filter=PASSED
>26672033;First_Filter=PASSED;Last_filter=PASSED
>29220977;First_Filter=PASSED;Last_filter=PASSED
>26600156;First_Filter=PASSED;Last_filter=PASSED
>26577265;First_Filter=PASSED;Last_filter=FAILED
>26574412;First_Filter=PASSED;Last_filter=PASSED
>26539502;First_Filter=PASSED;Last_filter=FAILED
>26534722;First_Filter=PASSED;Last_filter=FAILED
>26533893;First_Filter=PASSED;Last_filter=FAILED
>26529774;First_Filter=PASSED;Last_filter=PASSED
>26487984;First_Filter=PASSED;Last_filter=PASSED
>26487983;First_Filter=PASSED;Last_filter=PASSED
>26476638;First_Filter=PASSED;Last_filter=FAILED
>26476414;First_Filter=PASSED;Last_filter=PASSED
>26468133;First_Filter=PASSED;Last_filter=FAILED
>26460190;First_Filter=PASSED;Last_filter=PASSED
>26437432;First_Filter=PASSED;Last_filter=PASSED
>26433049;First_Filter=PASSED;Last_filter=PASSED
>26417431;First_Filter=PASSED;Last_filter=PASSED
>26417393;First_Filter=PASSED;Last_filter=PASSED
>26411868;First_Filter=PASSED;Last_filter=PASSED
>26362267;First_Filter=PASSED;Last_filter=PASSED
>26345079;First_Filter=PASSED;Last_filter=FAILED
>26342255;First_Filter=PASSED;Last_filter=PASSED
>26295449;First_Filter=PASSED;Last_filter=PASSED
>26286658;First_Filter=PASSED;Last_filter=PASSED
>26272077;First_Filter=PASSED;Last_filter=FAILED
>26264172;First_Filter=PASSED;Last_filter=PASSED
>26262005;First_Filter=PASSED;Last_filter=PASSED
>26208307;First_Filter=PASSED;Last_filter=PASSED
>26205246;First_Filter=PASSED;Last_filter=PASSED
>26173907;First_Filter=PASSED;Last_filter=PASSED
>26150785;First_Filter=PASSED;Last_filter=PASSED
>26141245;First_Filter=FAILED;Last_filter=PASSED
>26119754;First_Filter=PASSED;Last_filter=FAILED
>26092722;First_Filter=PASSED;Last_filter=PASSED
>26087487;First_Filter=PASSED;Last_filter=PASSED
>26079845;First_Filter=PASSED;Last_filter=PASSED
>26065052;First_Filter=FAILED;Last_filter=FAILED
>28516162;First_Filter=PASSED;Last_filter=PASSED
>25991273;First_Filter=PASSED;Last_filter=PASSED
>25991137;First_Filter=PASSED;Last_filter=PASSED
>25984606;First_Filter=PASSED;Last_filter=PASSED
>25963029;First_Filter=FAILED;Last_filter=PASSED
>25952938;First_Filter=PASSED;Last_filter=PASSED
>25941488;First_Filter=PASSED;Last_filter=PASSED
>25937823;First_Filter=PASSED;Last_filter=FAILED
>25914504;First_Filter=PASSED;Last_filter=FAILED
>25910101;First_Filter=PASSED;Last_filter=PASSED
>25888834;First_Filter=PASSED;Last_filter=FAILED
>25886979;First_Filter=PASSED;Last_filter=FAILED
>25879039;First_Filter=FAILED;Last_filter=PASSED
>25870759;First_Filter=PASSED;Last_filter=FAILED
>25868337;First_Filter=FAILED;Last_filter=PASSED
>25861214;First_Filter=PASSED;Last_filter=PASSED
>25849935;First_Filter=PASSED;Last_filter=PASSED
>25839250;First_Filter=PASSED;Last_filter=PASSED
>25832646;First_Filter=PASSED;Last_filter=PASSED
>25823046;First_Filter=PASSED;Last_filter=PASSED
>25807574;First_Filter=PASSED;Last_filter=PASSED
>25797506;First_Filter=FAILED;Last_filter=PASSED
>25787786;First_Filter=PASSED;Last_filter=PASSED
>25773550;First_Filter=PASSED;Last_filter=FAILED
>25773546;First_Filter=FAILED;Last_filter=PASSED
>25765323;First_Filter=PASSED;Last_filter=PASSED
>25762912;First_Filter=PASSED;Last_filter=PASSED
>25729356;First_Filter=PASSED;Last_filter=PASSED
>27442844;First_Filter=PASSED;Last_filter=PASSED
>27442843;First_Filter=PASSED;Last_filter=FAILED
>25715585;First_Filter=FAILED;Last_filter=PASSED
>25708662;First_Filter=PASSED;Last_filter=FAILED
>25656756;First_Filter=PASSED;Last_filter=FAILED
>25626382;First_Filter=FAILED;Last_filter=PASSED
>25622335;First_Filter=PASSED;Last_filter=PASSED
>25600172;First_Filter=FAILED;Last_filter=PASSED
>25592575;First_Filter=PASSED;Last_filter=PASSED
>25583507;First_Filter=PASSED;Last_filter=PASSED
>25553271;First_Filter=PASSED;Last_filter=PASSED
>27796014;First_Filter=PASSED;Last_filter=FAILED
>27199552;First_Filter=PASSED;Last_filter=FAILED
>25516725;First_Filter=FAILED;Last_filter=FAILED
>25466337;First_Filter=FAILED;Last_filter=FAILED
>25462632;First_Filter=FAILED;Last_filter=PASSED
>25458128;First_Filter=FAILED;Last_filter=FAILED
>29226916;First_Filter=FAILED;Last_filter=PASSED
>25361517;First_Filter=FAILED;Last_filter=PASSED
>25350106;First_Filter=FAILED;Last_filter=PASSED
>25302877;First_Filter=FAILED;Last_filter=PASSED
>25223304;First_Filter=FAILED;Last_filter=PASSED
>25215285;First_Filter=FAILED;Last_filter=PASSED
>25182276;First_Filter=FAILED;Last_filter=PASSED
>27532062;First_Filter=FAILED;Last_filter=PASSED
>25143968;First_Filter=FAILED;Last_filter=PASSED
>25123745;First_Filter=FAILED;Last_filter=FAILED
>25117552;First_Filter=FAILED;Last_filter=PASSED
>25083350;First_Filter=FAILED;Last_filter=PASSED
>25068389;First_Filter=FAILED;Last_filter=FAILED
>25029489;First_Filter=FAILED;Last_filter=PASSED
>25022322;First_Filter=FAILED;Last_filter=PASSED
>25000030;First_Filter=FAILED;Last_filter=PASSED
>25000009;First_Filter=FAILED;Last_filter=FAILED
>24987556;First_Filter=FAILED;Last_filter=FAILED
>24969690;First_Filter=FAILED;Last_filter=PASSED
>24859031;First_Filter=FAILED;Last_filter=PASSED
>24853034;First_Filter=FAILED;Last_filter=PASSED
>24799088;First_Filter=FAILED;Last_filter=PASSED
>24778462;First_Filter=FAILED;Last_filter=FAILED
>24645690;First_Filter=FAILED;Last_filter=PASSED
>24625719;First_Filter=FAILED;Last_filter=PASSED
>27447306;First_Filter=FAILED;Last_filter=PASSED
>24529915;First_Filter=FAILED;Last_filter=PASSED
>24465462;First_Filter=FAILED;Last_filter=FAILED
>24361690;First_Filter=FAILED;Last_filter=FAILED
>24338557;First_Filter=FAILED;Last_filter=FAILED
>24267033;First_Filter=FAILED;Last_filter=PASSED
>27447257;First_Filter=FAILED;Last_filter=FAILED
>27447253;First_Filter=FAILED;Last_filter=PASSED
>24124417;First_Filter=FAILED;Last_filter=PASSED
>24110019;First_Filter=FAILED;Last_filter=PASSED
>24048409;First_Filter=FAILED;Last_filter=FAILED
>24027761;First_Filter=FAILED;Last_filter=PASSED
>27442200;First_Filter=FAILED;Last_filter=PASSED
>27442199;First_Filter=FAILED;Last_filter=PASSED
>23849655;First_Filter=FAILED;Last_filter=PASSED
>27442066;First_Filter=FAILED;Last_filter=FAILED
>23666777;First_Filter=FAILED;Last_filter=FAILED
>23653617;First_Filter=FAILED;Last_filter=PASSED
>23366988;First_Filter=FAILED;Last_filter=PASSED
>23148517;First_Filter=FAILED;Last_filter=PASSED
>23031190;First_Filter=FAILED;Last_filter=PASSED
>22685456;First_Filter=FAILED;Last_filter=FAILED
>21841892;First_Filter=FAILED;Last_filter=PASSED
>15274126;First_Filter=FAILED;Last_filter=PASSED
>27899373;First_Filter=PASSED;Last_filter=FAILED
